p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.90912241174e-21	1.36745889282e-18	MHC class II antigen presentation	Reactome	R-HSA-2132295	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; IFI30; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DQB2; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3115; 10437; 3113; 3108; 3123; 3117; 3111; 3120; 3122; 3119; 972; 3127	60	60
2.44752277991e-19	1.68879071814e-17	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	HLA-DPB1; HLA-DRA; GZMB; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3119; 3108; 3109; 3111; 3113; 3115; 3122; 3123; 3127; 3002	38	37
7.3364821092e-19	3.08960490969e-17	Adaptive Immune System	Reactome	R-HSA-1280218	CD74; IGLC2; IGLV2-14; IGKC; CD79B; CD79A; HLA-DRA; HLA-DQB1; HLA-DQB2; LYN; HLA-DPB1; CD22; HLA-DRB1; IFI30; HLA-DRB5; CYBB; IGHD; IGHM; SYK; HLA-DOA; HLA-DPA1; HLA-DMA; HLA-DMB; HLA-DQA1; CD19	3127; 3495; 3109; 3514; 3507; 933; 3108; 3111; 972; 3123; 3538; 28815; 974; 10437; 1536; 3117; 3119; 973; 930; 6850; 3120; 3122; 3113; 4067; 3115	807	802
8.95537654983e-19	3.08960490969e-17	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	HLA-DPB1; HLA-DRA; GZMB; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3108; 3109; 3111; 3113; 3115; 3119; 3122; 3123; 3127; 3002	41	41
1.62234277712e-18	4.47766606484e-17	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	HLA-DPB1; HLA-DRA; GZMB; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3002; 3111	43	43
3.15050797979e-18	7.24616835351e-17	Asthma - Homo sapiens (human)	KEGG	path:hsa05310	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	31	30
7.10976919606e-18	1.40164021294e-16	Hematopoietic cell lineage - Homo sapiens (human)	KEGG	path:hsa04640	HLA-DPB1; HLA-DRA; CD22; HLA-DRB1; MS4A1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; CD19; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 930; 931; 933	97	96
1.66617775227e-17	2.87415662267e-16	Autoimmune thyroid disease - Homo sapiens (human)	KEGG	path:hsa05320	HLA-DPB1; HLA-DRA; GZMB; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3002	53	52
2.57792196832e-17	3.95281368475e-16	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; IFI30; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	10437; 3108; 3109; 3111; 3113; 3117; 3119; 3122; 3123; 3127; 972; 3115	77	77
5.2017321854e-16	7.17839041585e-15	Intestinal immune network for IgA production - Homo sapiens (human)	KEGG	path:hsa04672	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3108; 3109; 3111; 3113; 3115; 3119; 3122; 3123; 3127	49	47
2.69662275138e-15	3.31140539972e-14	Allograft Rejection	Wikipathways	WP2328	HLA-DPB1; HLA-DRA; GZMB; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3113; 3109; 3002; 3119; 3122; 3108; 3127; 3117; 3115; 3123; 3111	80	80
2.87948295627e-15	3.31140539972e-14	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3109; 3111	56	55
5.09821524409e-15	5.41195156681e-14	Viral myocarditis - Homo sapiens (human)	KEGG	path:hsa05416	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3115; 3117; 3108; 3109; 3111; 3113; 3119; 3122; 3123; 3127	59	58
9.24210097831e-15	8.59395698076e-14	Immune System	Reactome	R-HSA-168256	CD74; IGLV2-14; TLR10; IGLC2; IGKC; CD79B; CD79A; HLA-DRA; LYZ; HLA-DQB1; HLA-DQB2; LYN; METTL7A; HLA-DPB1; CD22; HLA-DRB1; IFI30; HLA-DRB5; CYBB; IGHD; IGHM; SYK; HVCN1; MEF2C; HLA-DOA; HLA-DPA1; HLA-DMA; HLA-DMB; HLA-DQA1; CD19	3127; 3109; 3514; 3507; 4069; 10437; 3119; 3108; 3111; 3538; 3122; 973; 930; 6850; 3120; 3113; 3115; 84329; 25840; 933; 972; 3123; 28815; 81793; 3495; 4208; 974; 3117; 4067; 1536	1950	1936
9.34125758778e-15	8.59395698076e-14	Translocation of ZAP-70 to Immunological synapse	Reactome	R-HSA-202430	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3122; 3113; 3120; 3115; 3119; 3123; 3127	24	24
1.71840526393e-14	1.48212454014e-13	Inflammatory bowel disease (IBD) - Homo sapiens (human)	KEGG	path:hsa05321	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	65	65
2.79777395627e-14	2.27113415273e-13	Phosphorylation of CD3 and TCR zeta chains	Reactome	R-HSA-202427	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3122; 3113; 3120; 3115; 3119; 3123; 3127	27	27
3.90669013643e-14	2.9951291046e-13	PD-1 signaling	Reactome	R-HSA-389948	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3122; 3115; 3113; 3120; 3119; 3123; 3127	28	28
5.05700630948e-14	3.67298353004e-13	Leishmaniasis - Homo sapiens (human)	KEGG	path:hsa05140	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3108; 3111	73	72
4.59390144489e-13	3.16979199698e-12	Rheumatoid arthritis - Homo sapiens (human)	KEGG	path:hsa05323	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	90	89
5.98871780014e-13	3.9354431258e-12	Generation of second messenger molecules	Reactome	R-HSA-202433	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3122; 3115; 3113; 3120; 3119; 3123; 3127	38	38
6.46500014045e-13	4.05531826992e-12	Th1 and Th2 cell differentiation - Homo sapiens (human)	KEGG	path:hsa04658	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	92	92
7.93557329626e-13	4.76134397775e-12	Tuberculosis - Homo sapiens (human)	KEGG	path:hsa05152	CD74; HLA-DPB1; HLA-DRA; SYK; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 6850; 972	179	178
1.52091933107e-12	8.74528615363e-12	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Reactome	R-HSA-983695	IGLC2; SYK; CD22; IGHD; IGLV2-14; IGKC; CD19; CD79B; IGHM; CD79A	3495; 3514; 3538; 28815; 3507; 933; 974; 973; 930; 6850	100	100
1.90069886122e-12	1.04918577139e-11	Cell adhesion molecules (CAMs) - Homo sapiens (human)	KEGG	path:hsa04514	HLA-DPB1; HLA-DRA; CD22; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3109; 3127; 933	145	143
2.46028255738e-12	1.30584228046e-11	CD22 mediated BCR regulation	Reactome	R-HSA-5690714	IGLV2-14; CD22; IGKC; IGHD; IGLC2; LYN; CD79B; IGHM; CD79A	4067; 933; 974; 3507; 3538; 973; 3495; 28815; 3514	71	71
3.03301720909e-12	1.55020879575e-11	Th17 cell differentiation - Homo sapiens (human)	KEGG	path:hsa04659	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	107	107
3.62314902425e-12	1.78569487624e-11	Costimulation by the CD28 family	Reactome	R-HSA-388841	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; LYN; HLA-DQA1	4067; 3113; 3123; 3115; 3122; 3127; 3119; 3117; 3120	75	74
4.00392972282e-12	1.90531828189e-11	Phagosome - Homo sapiens (human)	KEGG	path:hsa04145	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; CYBB; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	1536; 3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	154	153
4.50208359545e-12	2.07095845391e-11	Downstream TCR signaling	Reactome	R-HSA-202424	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3115; 3113; 3122; 3119; 3123; 3117; 3120; 3127	48	48
8.18108431131e-12	3.64190204826e-11	Toxoplasmosis - Homo sapiens (human)	KEGG	path:hsa05145	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	118	118
2.52833563902e-11	1.09034474433e-10	Systemic lupus erythematosus - Homo sapiens (human)	KEGG	path:hsa05322	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127	133	132
3.18683573776e-11	1.33267676306e-10	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3111; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3108; 972	185	185
7.53291518612e-11	3.05747734025e-10	CD4 T cell receptor signaling-ERK cascade	INOH	None	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3122; 3113; 3120; 3115; 3119; 3123	40	40
9.44405685992e-11	3.72365670477e-10	TCR signaling	Reactome	R-HSA-202403	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3115; 3113; 3117; 3122; 3119; 3123; 3120; 3127	69	69
4.15020231423e-10	1.59091088712e-09	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3111; 3113; 3117; 3119; 3122; 3123; 3127; 3115	175	175
5.70330010821e-10	2.12717679712e-09	Signaling by the B Cell Receptor (BCR)	Reactome	R-HSA-983705	IGLC2; SYK; CD22; IGHM; IGHD; IGLV2-14; LYN; CD19; CD79B; IGKC; CD79A	4067; 3495; 3514; 3538; 28815; 3507; 933; 974; 973; 930; 6850	242	242
6.01839012115e-10	2.1856258861e-09	CD4 T cell receptor signaling-JNK cascade	INOH	None	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3113; 3123; 3120; 3122; 3115; 3119	53	53
6.69141019729e-10	2.36772976212e-09	BCR	NetPath	Pathway_BCR	TCL1A; SYK; CD22; IGHM; LYN; CD19; CD79B; BANK1; CD79A	4067; 55024; 3507; 8115; 933; 974; 973; 930; 6850	131	131
1.53052076852e-09	5.2802966514e-09	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	HLA-DPB1; HLA-DRA; SYK; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DPA1; LYN; HLA-DQA1; CD19	3113; 3115; 3117; 3119; 3122; 3123; 3127; 4067; 930; 6850	204	200
1.77489859444e-08	5.97404892764e-08	HTLV-I infection - Homo sapiens (human)	KEGG	path:hsa05166	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DRB5; HLA-DQB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3113; 3115; 3117; 3119; 3122; 3123; 3127; 3108; 3111	258	258
1.98582016766e-08	6.52483769374e-08	B cell receptor signaling	INOH	None	SYK; IGHD; IGLV2-14; IGKC; CD19; CD79B; IGHM; CD79A	3495; 3514; 28815; 3507; 974; 973; 930; 6850	134	134
3.8620600666e-08	1.23945183533e-07	CD4 T cell receptor signaling-NFkB cascade	INOH	None	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DQB2; HLA-DPA1; HLA-DQA1	3117; 3120; 3122; 3113; 3123; 3119; 3115	95	95
4.79707147897e-08	1.47110192022e-07	B Cell Receptor Signaling Pathway	Wikipathways	WP23	SYK; CD22; MEF2C; LYN; CD19; CD79B; CD79A	933; 930; 6850; 4208; 974; 973; 4067	98	98
4.79707147897e-08	1.47110192022e-07	B Cell Receptor Signaling Pathway	Wikipathways	WP3884	SYK; CD22; MEF2C; LYN; CD19; CD79B; CD79A	933; 930; 6850; 4208; 974; 973; 4067	98	98
1.450350522e-07	4.35105156599e-07	BCR signaling pathway	PID	bcr_5pathway	SYK; CD22; LYN; CD79A; CD79B; CD19	4067; 974; 933; 973; 930; 6850	69	69
