p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.12061980416e-22	1.35897235082e-19	Immune System	Reactome	R-HSA-168256	CD74; NCF2; CLEC12A; FCGR3A; CD36; IGLC3; IGKC; S100A12; SERPINA1; FCER1G; TYROBP; LYZ; S100A9; S100A8; MNDA; CST3; FCN1; FPR1; HLA-DRB1; HLA-DRA; IFI30; CD68; CYBB; IGHD; IRAK3; HCK; CTSS; IGHM; IGKV1-5; CFD; PSAP; MEF2C; CD14; HLA-DPA1; HLA-DQA1	929; 3514; 3507; 4688; 2357; 1471; 4069; 10437; 6279; 968; 5660; 2207; 3539; 160364; 948; 2214; 6280; 3122; 1520; 1675; 3113; 5265; 28299; 6283; 972; 3055; 3123; 2219; 11213; 3495; 4332; 4208; 3117; 7305; 1536	1950	1936
3.83161266057e-16	2.85455143213e-14	Neutrophil degranulation	Reactome	R-HSA-6798695	SERPINA1; FCN1; CTSS; CLEC12A; TYROBP; FPR1; CFD; PSAP; FCER1G; LYZ; CD68; CYBB; CD14; S100A9; CD36; MNDA; CST3; S100A12; S100A8	929; 948; 2357; 6283; 1471; 4069; 6279; 7305; 968; 6280; 5660; 2219; 2207; 1520; 1536; 4332; 160364; 5265; 1675	497	492
1.12611429287e-15	5.59303432124e-14	Innate Immune System	Reactome	R-HSA-168249	NCF2; CLEC12A; FCGR3A; CD36; IGLC3; IGKC; S100A12; SERPINA1; FCER1G; TYROBP; LYZ; S100A9; S100A8; MNDA; IRAK3; FCN1; FPR1; CD68; CYBB; CST3; CTSS; IGKV1-5; CFD; PSAP; MEF2C; CD14	929; 28299; 4688; 2357; 948; 4069; 6283; 7305; 4208; 6279; 2214; 1471; 968; 6280; 5660; 2219; 2207; 1520; 11213; 1536; 4332; 3539; 3514; 160364; 5265; 1675	1309	1297
3.04494984706e-11	1.13424381803e-09	Adaptive Immune System	Reactome	R-HSA-1280218	CD74; NCF2; HLA-DRA; IGKV1-5; TYROBP; HLA-DRB1; FCGR3A; IFI30; HLA-DQA1; CYBB; CD14; IGHD; CD36; IGLC3; HLA-DPA1; IGKC; CTSS; IGHM	929; 3495; 3514; 3507; 4688; 972; 3123; 10437; 1536; 3117; 2214; 7305; 948; 1520; 28299; 3122; 3539; 3113	807	802
6.76094056001e-11	2.01476028688e-09	Phagosome - Homo sapiens (human)	KEGG	path:hsa04145	NCF2; HLA-DRA; HLA-DRB1; FCGR3A; CD36; CYBB; CD14; HLA-DPA1; CTSS; HLA-DQA1	1536; 3113; 3117; 3122; 3123; 929; 948; 4688; 2214; 1520	154	153
5.63403193315e-10	1.39911793006e-08	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	HLA-DRA; FPR1; CFD; HLA-DRB1; FCGR3A; HLA-DPA1; HLA-DQA1	1675; 2214; 3113; 3117; 3122; 3123; 2357	56	55
1.05894886768e-09	2.25404830407e-08	MHC class II antigen presentation	Reactome	R-HSA-2132295	CD74; HLA-DRA; HLA-DRB1; IFI30; HLA-DPA1; CTSS; HLA-DQA1	1520; 10437; 3113; 3123; 3117; 3122; 972	60	60
6.31962529402e-09	1.08902284525e-07	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	CD74; HLA-DRA; HLA-DRB1; IFI30; HLA-DPA1; CTSS; HLA-DQA1	10437; 3113; 3117; 3122; 3123; 1520; 972	77	77
6.57799034047e-09	1.08902284525e-07	Tuberculosis - Homo sapiens (human)	KEGG	path:hsa05152	CD74; FCER1G; HLA-DRB1; FCGR3A; HLA-DRA; CD14; HLA-DPA1; CTSS; HLA-DQA1	3113; 3117; 3122; 3123; 2207; 2214; 929; 972; 1520	179	178
1.43789757304e-08	2.14246738383e-07	Macrophage markers	Wikipathways	WP3936	CD74; CD14; LYZ; CD68	972; 4069; 968; 929	9	9
