p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.71545210522e-20	3.99700340517e-18	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; IFI30; HSPA1B; HSPA1A; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	10437; 3108; 3109; 3113; 3117; 3119; 3122; 3123; 972; 7124; 3303; 3304; 3115	77	77
2.83164742534e-17	3.29886925052e-15	Hematopoietic cell lineage - Homo sapiens (human)	KEGG	path:hsa04640	HLA-DPB1; HLA-DRA; CD22; HLA-DRB1; MS4A1; TNF; HLA-DQB1; HLA-DPA1; CD19; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 930; 931; 933; 7124	97	96
7.4614631464e-17	5.79506971037e-15	Asthma - Homo sapiens (human)	KEGG	path:hsa05310	HLA-DPB1; HLA-DRA; HLA-DRB1; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 7124	31	30
6.39782429257e-16	3.19866560677e-14	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	HLA-DPB1; HLA-DRA; HLA-DRB1; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3119; 3108; 3109; 3113; 3115; 3122; 3123; 7124	38	37
8.10193569531e-16	3.19866560677e-14	Rheumatoid arthritis - Homo sapiens (human)	KEGG	path:hsa05323	HLA-DPB1; HLA-DRA; HLA-DRB1; JUN; LTB; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 3725; 4050; 7124	90	89
8.23690714191e-16	3.19866560677e-14	MHC class II antigen presentation	Reactome	R-HSA-2132295	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; IFI30; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3115; 10437; 3113; 3108; 3123; 3117; 3122; 3119; 972	60	60
1.15180284299e-15	3.83385803452e-14	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	HLA-DPB1; HLA-DRA; DNAJB1; HLA-DRB1; JUN; HSPA1B; HSPA1A; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3117; 3119; 3122; 3123; 3725; 3303; 3304; 3115; 3337; 7124	175	175
1.78740503987e-15	5.01413020366e-14	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	HLA-DPB1; HLA-DRA; HLA-DRB1; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3108; 3109; 3113; 3115; 3119; 3122; 3123; 7124	41	41
1.93678849068e-15	5.01413020366e-14	Inflammatory bowel disease (IBD) - Homo sapiens (human)	KEGG	path:hsa05321	HLA-DPB1; HLA-DRA; HLA-DRB1; JUN; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3725; 3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 7124	65	65
2.86557889589e-15	6.67679882743e-14	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	HLA-DPB1; HLA-DRA; HLA-DRB1; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 7124	43	43
5.72276625587e-15	1.21218594329e-13	Leishmaniasis - Homo sapiens (human)	KEGG	path:hsa05140	HLA-DPB1; HLA-DRA; HLA-DRB1; JUN; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3725; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 7124; 3108	73	72
2.00910920537e-14	3.90102037377e-13	Toxoplasmosis - Homo sapiens (human)	KEGG	path:hsa05145	HLA-DPB1; HLA-DRA; HLA-DRB1; HSPA1B; HSPA1A; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 3303; 3304; 7124	118	118
6.88709196991e-13	1.23437879153e-11	Intestinal immune network for IgA production - Homo sapiens (human)	KEGG	path:hsa04672	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3117; 3108; 3109; 3113; 3115; 3119; 3122; 3123	49	47
1.09434862258e-12	1.82130877901e-11	Allograft Rejection	Wikipathways	WP2328	HLA-DPB1; HLA-DRA; HLA-DRB1; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3113; 3109; 3119; 7124; 3122; 3108; 3117; 3115; 3123	80	80
1.63141203597e-12	2.53412669587e-11	Autoimmune thyroid disease - Homo sapiens (human)	KEGG	path:hsa05320	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123	53	52
2.62339701949e-12	3.82032190963e-11	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3113; 3115; 3117; 3119; 3122; 3123; 3109	56	55
2.97106462586e-12	4.07210622251e-11	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	CD74; HLA-DPB1; HLA-DRA; HLA-DRB1; JUN; TNF; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3109; 3113; 3115; 3117; 3119; 3122; 3123; 3725; 3108; 972; 7124	185	185
4.00235047061e-12	5.03368201908e-11	Th1 and Th2 cell differentiation - Homo sapiens (human)	KEGG	path:hsa04658	HLA-DPB1; HLA-DRA; HLA-DRB1; JUN; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3108; 3109; 3113; 3115; 3117; 3119; 3122; 3123; 3725	92	92
4.10471924303e-12	5.03368201908e-11	Viral myocarditis - Homo sapiens (human)	KEGG	path:hsa05416	HLA-DPB1; HLA-DRA; HLA-DRB1; HLA-DQB1; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DMA	3115; 3117; 3108; 3109; 3113; 3119; 3122; 3123	59	58
6.96594280195e-12	8.11532336427e-11	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	HLA-DPB1; HLA-DRA; HSPB1; HLA-DRB1; JUN; HSPA1B; HSPA1A; HLA-DQB1; HLA-DPA1; HLA-DQA1; CD19	3113; 3115; 3117; 3119; 3122; 3123; 3725; 3303; 3304; 3315; 930	204	200
