p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.10494689199e-14	2.894960857e-12	Innate Immune System	Reactome	R-HSA-168249	NFKBIA; LYZ; IGLC2; S100A11; IGKC; S100A12; FCER1G; CALM2; TYROBP; COTL1; S100A9; S100A8; MNDA; CST3; FTH1; DUSP1; FCN1; FOS; ARPC3; ARPC2; CYBA; CTSS; FTL; ARPC1B; GSTP1; ACTB	4792; 10094; 1843; 10109; 4069; 6283; 2353; 1535; 60; 7305; 3538; 6279; 1471; 6280; 10095; 2219; 2207; 1520; 23406; 2512; 2495; 6282; 4332; 805; 3514; 2950	1309	1297
2.07336934991e-12	2.71611384838e-10	Immune System	Reactome	R-HSA-168256	CD74; NFKBIA; LYZ; IGLC2; S100A11; IGKC; S100A12; CD79A; FCER1G; CALM2; TYROBP; COTL1; S100A9; S100A8; MNDA; CST3; FTH1; DUSP1; FCN1; FOS; ARPC3; ARPC2; CYBA; CTSS; FTL; ARPC1B; GSTP1; ACTB	3514; 1843; 1471; 4069; 6279; 2495; 2207; 4792; 3538; 6280; 10095; 1520; 973; 2512; 2950; 6283; 10094; 972; 2353; 2219; 23406; 6282; 10109; 4332; 1535; 60; 805; 7305	1950	1936
7.22440564923e-12	6.309314267e-10	Neutrophil degranulation	Reactome	R-HSA-6798695	FCN1; CTSS; COTL1; TYROBP; FCER1G; LYZ; FTH1; MNDA; GSTP1; CYBA; S100A9; S100A8; S100A11; CST3; S100A12; FTL	6283; 1471; 4069; 1535; 6279; 7305; 6280; 2219; 2207; 1520; 23406; 2512; 2495; 6282; 4332; 2950	497	492
6.21960746477e-07	4.07384288942e-05	Salmonella infection - Homo sapiens (human)	KEGG	path:hsa05132	CCL3; FOS; ARPC3; ARPC2; ARPC1B; ACTB	60; 6348; 2353; 10094; 10095; 10109	86	86
2.13736409734e-06	0.0001119978787	ErbB1 downstream signaling	PID	erbb1_downstream_pathway	CALM2; FOS; ARPC3; ARPC2; ARPC1B; DUSP1	805; 10109; 2353; 10095; 10094; 1843	107	106
3.56200878571e-06	0.000155541050309	Shigellosis - Homo sapiens (human)	KEGG	path:hsa05131	ARPC3; ARPC1B; ACTB; NFKBIA; ARPC2	4792; 60; 10094; 10095; 10109	65	65
9.24277555632e-06	0.000299430876148	RHO GTPases Activate WASPs and WAVEs	Reactome	R-HSA-5663213	ARPC3; ARPC2; ACTB; ARPC1B	10109; 10095; 10094; 60	37	37
9.6647500206e-06	0.000299430876148	how does salmonella hijack a cell	BioCarta	salmonellapathway	ARPC3; ARPC1B; ARPC2	10094; 10095; 10109	12	12
1.02857934555e-05	0.000299430876148	Regulation of actin dynamics for phagocytic cup formation	Reactome	R-HSA-2029482	ARPC3; ARPC2; IGLC2; ARPC1B; ACTB; IGKC	10109; 60; 10095; 3514; 3538; 10094	139	139
1.26882489384e-05	0.000332432122187	Microglia Pathogen Phagocytosis Pathway	Wikipathways	WP3937	TYROBP; ARPC1B; FCER1G; CYBA	7305; 10095; 2207; 1535	40	40
